regime_1,regime_2,regime_3,regime_4,regime_5,regime_6
7.479038187429954e-15,0.9919490944020475,5.274401690010353e-10,0.008048679270968506,1.9165034066517425e-8,1.2099849908064069e-4
1.293696373813138e-25,0.9919490944020475,3.6147155400083553e-16,0.008048679270968506,5.627000167377009e-13,2.226326421564103e-6
3.3205712385247473e-15,0.9996420068587576,9.03937637560444e-10,3.486589930996e-4,8.562720545866168e-9,9.32468148160231e-6
3.952984676860054e-15,0.9997403024300817,1.1051313056787842e-9,2.4768312277315607e-4,1.0318425091332653e-8,1.2003023585447206e-5
8.199798396100616e-10,0.997430814183702,6.111408856742238e-5,0.0025629692850535086,6.298563790723932e-4,6.2164651632556376e-6
3.880273903949791e-15,0.9978687592811529,1.1339871015779035e-9,0.002111448860634962,1.0509409883686878e-8,1.9780214809874546e-5
2.651763301327278e-15,0.999653103548456,8.39119893699944e-10,3.3428562078338306e-4,7.543329955276764e-9,1.260244830920653e-5
1.915554580424631e-15,0.9997133020784065,6.47637427726416e-10,2.751841470406697e-4,5.69250012433724e-9,1.1507434413817967e-5
8.677079306010785e-15,0.999605802296934,2.227310963398036e-9,3.747578242332807e-4,2.1288432159193682e-8,1.9416363079553993e-5
3.3338709213059637e-15,0.9996641717156309,1.0260041293292518e-9,3.215207764300147e-4,9.281988032645207e-9,1.4297199943465456e-5
3.2373915797152757e-15,0.9996646332117366,1.0049357605286151e-9,3.210488222400502e-4,9.07924630297106e-9,1.4307881838726165e-5
3.514903716502849e-15,0.9996555172083851,1.0771400152000497e-9,3.2963699085905893e-4,9.769095676087246e-9,1.4834954514940972e-5
2.8041421315855783e-15,0.9996675173122647,8.97873206731327e-10,3.186198173912542e-4,8.03194048265138e-9,1.3853940527001092e-5
5.643236714045623e-15,0.9996154775589161,1.5896453924552961e-9,3.6689572648814254e-4,1.4790002410088658e-8,1.7610334943644058e-5
4.793598927213208e-15,0.9996228389384418,1.393969079226098e-9,3.603848024116859e-4,1.285509675725771e-8,1.676201007734465e-5
4.663524825536341e-15,0.9996233886009496,1.3647586437885347e-9,3.5991659772884103e-4,1.2561914643264298e-8,1.668087464685456e-5
1.6689421557916382e-15,0.9996920390324702,5.914254328390511e-10,2.96081915342059e-4,5.1185153247098945e-9,1.1873342243537075e-5
2.990454576903134e-15,0.999655839092118,9.521508355779666e-10,3.2967416164691765e-4,8.53244673964736e-9,1.4477261638596168e-5
1.8745102430935633e-10,0.9967995828076174,1.9050227513460805e-5,0.0031947540013112018,2.1502544735486304e-4,0.007478217630453281
8.179094062333577e-15,0.9973789109707979,2.1629535190957657e-9,0.002595227978644368,2.0564508933974402e-8,2.5838323085857563e-5
2.1044234477860953e-10,0.16174505951009616,2.1026980215460234e-5,0.8381393724043612,2.203049650472052e-4,0.008161271779710804
1.4688560322542637e-12,0.018819404591098515,3.111970265438803e-7,0.9810269358579043,3.208345703130843e-6,0.0013209323716566477
7.707551660033475e-11,0.25411147355039887,8.742708830361582e-6,0.7458040322197332,1.0168583285975641e-4,0.005441607635575613
2.716682743915288e-15,0.9937241306627661,8.557169111343956e-10,0.006254782447946516,9.09476591822583e-9,2.1076938807825854e-5
6.094675342021035e-13,0.9918939861603984,1.2588402840540872e-7,0.007655941057914133,1.3014333136851478e-6,4.486454637410777e-4
3.4887046490772844e-15,0.9994527800301258,1.0206317550539467e-9,5.344537881838691e-4,9.420850284027633e-9,1.275574020664881e-5
2.7917587165436443e-13,0.9931109628444693,7.277323961741658e-8,0.0064224695728345976,6.983053385206997e-7,4.6579650384340535e-4
5.125321737166996e-15,0.9992502445058299,1.5164982346961817e-9,7.304159290203139e-4,1.3913962638573982e-8,1.9324134683155735e-5
4.707707490207769e-15,0.9996580422173389,1.3322992957473737e-9,3.270016512269655e-4,1.2394676205204836e-8,1.4942404453459612e-5
